X,Y,COND1,COND2,COND3,COND4,COND5,COND6
155.1493782,200.7658253,7.48217,7.40025,7.12982,8.23471,8.2274,9.14237
156.150342,200.7658253,7.57177,7.44286,7.26273,8.44186,8.56502,9.55182
157.1513057,200.7658253,7.70493,7.39122,7.32998,8.61689,8.90573,9.99058
158.1522694,200.7658253,7.83808,7.33958,7.39723,8.79191,9.24644,10.42934
159.1532332,200.7658253,7.97124,7.28795,7.46447,8.96694,9.58715,10.86811
160.1541969,200.7658253,8.12863,7.38571,7.58177,9.09203,9.74543,11.03905
130.125285,199.7669904,5.79967,4.69615,4.19306,5.34878,4.85943,5.67361
131.1262487,199.7669904,5.91212,4.7289,4.24608,5.4163,4.95754,5.78708
132.1272124,199.7669904,5.90529,4.61921,4.1762,5.39114,4.98265,5.84803
133.1281762,199.7669904,5.82752,4.42482,4.03324,5.31085,4.96436,5.87774
134.1291399,199.7669904,5.74976,4.23043,3.89028,5.23057,4.94607,5.90746
135.1301036,199.7669904,5.672,4.03604,3.74731,5.15028,4.92778,5.93717
136.1310674,199.7669904,5.76999,4.11773,3.82314,5.21342,4.98721,5.98919
137.1320311,199.7669904,5.97079,4.3609,4.02695,5.36044,5.09209,6.05427
138.1329948,199.7669904,6.17158,4.60408,4.23077,5.50747,5.19697,6.11934
139.1339585,199.7669904,6.37238,4.84726,4.43458,5.6545,5.30186,6.18441
140.1349223,199.7669904,6.41831,5.15068,4.7079,5.87344,5.49518,6.34348
141.135886,199.7669904,6.37513,5.48876,5.02121,6.13375,5.73938,6.55662
142.1368497,199.7669904,6.33196,5.82685,5.33452,6.39406,5.98358,6.76976
143.1378135,199.7669904,6.28879,6.16493,5.64784,6.65437,6.22778,6.98291
144.1387772,199.7669904,6.24952,6.16654,5.69072,6.73285,6.36489,7.15342
145.1397409,199.7669904,6.21245,5.97776,5.58059,6.70845,6.4414,7.29982
146.1407047,199.7669904,6.17538,5.78897,5.47045,6.68405,6.51791,7.44622
147.1416684,199.7669904,6.13832,5.60019,5.36032,6.65965,6.59442,7.59263
148.1426321,199.7669904,6.29976,5.60985,5.37395,6.67582,6.61677,7.61788
149.1435959,199.7669904,6.57166,5.72993,5.45645,6.71457,6.60898,7.57573
150.1445596,199.7669904,6.84355,5.85,5.53895,6.75331,6.60119,7.53358
151.1455233,199.7669904,7.11545,5.97008,5.62145,6.79206,6.59341,7.49142
152.146487,199.7669904,7.1245,6.12308,5.79328,6.96593,6.80259,7.71091
153.1474508,199.7669904,6.98972,6.29409,6.01399,7.21373,7.1305,8.07356
154.1484145,199.7669904,6.85493,6.4651,6.23471,7.46154,7.45841,8.43621
155.1493782,199.7669904,6.72015,6.63611,6.45542,7.70934,7.78632,8.79886
156.150342,199.7669904,6.77889,6.72253,6.59483,7.88658,8.04356,9.09625
157.1513057,199.7669904,6.94174,6.76344,6.69049,8.02585,8.26278,9.35853
158.1522694,199.7669904,7.10458,6.80435,6.78616,8.16512,8.482,9.62081
159.1532332,199.7669904,7.26743,6.84526,6.88183,8.30439,8.70122,9.88309
160.1541969,199.7669904,7.52081,7.02477,7.07785,8.49796,8.92831,10.11774
127.1223938,198.7681554,5.49542,4.68253,4.11624,5.2185,4.63875,5.40214
128.1233575,198.7681554,5.56626,4.71576,4.17441,5.29515,4.75264,5.53515
129.1243212,198.7681554,5.67436,4.70709,4.19171,5.33576,4.82959,5.63345
130.125285,198.7681554,5.78245,4.69842,4.20901,5.37637,4.90655,5.73174
131.1262487,198.7681554,5.89055,4.68975,4.22631,5.41698,4.9835,5.83003
132.1272124,198.7681554,5.89165,4.5966,4.16958,5.40047,5.0134,5.89247
133.1281762,198.7681554,5.82912,4.45322,4.06882,5.35001,5.01531,5.93359
134.1291399,198.7681554,5.76659,4.30984,3.96806,5.29954,5.01722,5.97471
135.1301036,198.7681554,5.70407,4.16646,3.8673,5.24908,5.01913,6.01583
136.1310674,198.7681554,5.78629,4.24914,3.94554,5.31574,5.08413,6.07453
137.1320311,198.7681554,5.95318,4.46406,4.12847,5.45091,5.18603,6.14352
138.1329948,198.7681554,6.12008,4.67898,4.3114,5.58608,5.28793,6.21252
139.1339585,198.7681554,6.28697,4.8939,4.49433,5.72126,5.38983,6.28151
140.1349223,198.7681554,6.3379,5.16238,4.73714,5.91678,5.56406,6.42621
141.135886,198.7681554,6.32213,5.46167,5.0144,6.14703,5.7799,6.61446
142.1368497,198.7681554,6.30635,5.76095,5.29165,6.37727,5.99573,6.80272
143.1378135,198.7681554,6.29057,6.06024,5.5689,6.60752,6.21157,6.99098
144.1387772,198.7681554,6.26587,6.0734,5.61548,6.6818,6.33397,7.14003
145.1397409,198.7681554,6.23611,5.92467,5.53153,6.66783,6.4035,7.26691
146.1407047,198.7681554,6.20636,5.77595,5.44758,6.65387,6.47304,7.39379
147.1416684,198.7681554,6.1766,5.62722,5.36363,6.6399,6.54257,7.52067
148.1426321,198.7681554,6.28563,5.61052,5.35671,6.64299,6.55858,7.54514
149.1435959,198.7681554,6.47187,5.66729,5.39264,6.65558,6.5448,7.51263
150.1445596,198.7681554,6.65811,5.72406,5.42856,6.66816,6.53103,7.48012
151.1455233,198.7681554,6.84435,5.78082,5.46449,6.68075,6.51725,7.4476
152.146487,198.7681554,6.8608,5.91654,5.61419,6.8299,6.69387,7.63116
153.1474508,198.7681554,6.78436,6.09545,5.82615,7.05377,6.97467,7.93293
154.1484145,198.7681554,6.70791,6.27436,6.0381,7.27765,7.25547,8.23471
155.1493782,198.7681554,6.63146,6.45327,6.25006,7.50153,7.53627,8.53649
156.150342,198.7681554,6.70962,6.567,6.40226,7.67645,7.77215,8.79987
157.1513057,198.7681554,6.87095,6.64565,6.52232,7.82502,7.98387,9.0426
158.1522694,198.7681554,7.03228,6.7243,6.64238,7.9736,8.19559,9.28533
159.1532332,198.7681554,7.19362,6.80296,6.76244,8.12218,8.40731,9.52806
160.1541969,198.7681554,7.46282,7.00724,6.98549,8.34244,8.66569,9.79503
125.1204663,197.7693205,5.45176,4.62602,4.05166,5.1522,4.55783,5.31651
126.1214301,197.7693205,5.45909,4.73311,4.16666,5.26406,4.68693,5.44854
127.1223938,197.7693205,5.46642,4.8402,4.28166,5.37591,4.81603,5.58058
128.1233575,197.7693205,5.51292,4.83498,4.29979,5.41475,4.88768,5.67132
129.1243212,197.7693205,5.5831,4.76187,4.25935,5.40944,4.9246,5.7371
130.125285,197.7693205,5.65328,4.68876,4.21892,5.40413,4.96151,5.80288
131.1262487,197.7693205,5.72347,4.61565,4.17849,5.39882,4.99843,5.86866
132.1272124,197.7693205,5.74377,4.56248,4.15068,5.39795,5.03054,5.92306
133.1281762,197.7693205,5.73442,4.52117,4.13039,5.39972,5.05979,5.9707
134.1291399,197.7693205,5.72507,4.47985,4.1101,5.40149,5.08905,6.01834
135.1301036,197.7693205,5.71572,4.43854,4.08981,5.40325,5.1183,6.06598
136.1310674,197.7693205,5.78205,4.51866,4.16836,5.47298,5.19032,6.13412
137.1320311,197.7693205,5.89265,4.66979,4.30473,5.58245,5.28735,6.21427
138.1329948,197.7693205,6.00325,4.82093,4.4411,5.69192,5.38437,6.29441
139.1339585,197.7693205,6.11386,4.97207,4.57746,5.80139,5.4814,6.37456
140.1349223,197.7693205,6.17221,5.1731,4.76454,5.95762,5.62915,6.50447
141.135886,197.7693205,6.20051,5.40283,4.98078,6.14075,5.80608,6.66301
142.1368497,197.7693205,6.22881,5.63256,5.19703,6.32388,5.98302,6.82155
143.1378135,197.7693205,6.25711,5.86229,5.41327,6.50701,6.15995,6.98009
144.1387772,197.7693205,6.25149,5.90394,5.47541,6.58301,6.26733,7.10273
145.1397409,197.7693205,6.22666,5.83919,5.45036,6.59838,6.33536,7.20504
146.1407047,197.7693205,6.20184,5.77443,5.42531,6.61375,6.40339,7.30736
147.1416684,197.7693205,6.17702,5.70968,5.40025,6.62912,6.47142,7.40967
148.1426321,197.7693205,6.23535,5.69323,5.39922,6.64297,6.5062,7.45749
149.1435959,197.7693205,6.33995,5.70365,5.41154,6.65597,6.52248,7.47498
150.1445596,197.7693205,6.44454,5.71408,5.42387,6.66897,6.53877,7.49247
151.1455233,197.7693205,6.54914,5.7245,5.4362,6.68198,6.55506,7.50995
152.146487,197.7693205,6.62185,5.86179,5.57789,6.81467,6.70172,7.65573
153.1474508,197.7693205,6.67713,6.06849,5.79036,7.01285,6.91971,7.87169
154.1484145,197.7693205,6.7324,6.27518,6.00283,7.21103,7.13771,8.08766
155.1493782,197.7693205,6.78767,6.48188,6.2153,7.40922,7.35571,8.30362
156.150342,197.7693205,6.90354,6.6169,6.38259,7.59186,7.5917,8.56139
157.1513057,197.7693205,7.05201,6.71336,6.52557,7.76614,7.83739,8.84166
158.1522694,197.7693205,7.20048,6.80983,6.66856,7.94041,8.08307,9.12192
159.1532332,197.7693205,7.34896,6.90629,6.81155,8.11469,8.32875,9.40219
160.1541969,197.7693205,7.60484,7.11462,7.04284,8.34643,8.60476,9.69005
161.1551606,197.7693205,7.91753,7.38212,7.32084,8.60856,8.89683,9.98194
122.1175751,196.7704855,5.43026,4.54589,4.00469,5.14143,4.58959,5.37775
123.1185389,196.7704855,5.4212,4.58064,4.05186,5.19611,4.66383,5.46092
124.1195026,196.7704855,5.42112,4.663,4.13437,5.27107,4.74363,5.53818
125.1204663,196.7704855,5.42656,4.77462,4.23861,5.35849,4.82686,5.61179
126.1214301,196.7704855,5.43199,4.88624,4.34284,5.44591,4.91008,5.6854
127.1223938,196.7704855,5.43743,4.99787,4.44708,5.53333,4.99331,5.75902
128.1233575,196.7704855,5.45958,4.9542,4.42517,5.53434,5.02272,5.80749
129.1243212,196.7704855,5.49185,4.81665,4.327,5.48311,5.0196,5.84075
130.125285,196.7704855,5.52412,4.6791,4.22883,5.43188,5.01648,5.87402
131.1262487,196.7704855,5.55639,4.54155,4.13066,5.38066,5.01335,5.90729
132.1272124,196.7704855,5.5959,4.52836,4.13179,5.39542,5.04768,5.95366
133.1281762,196.7704855,5.63972,4.58911,4.19196,5.44942,5.10428,6.00781
134.1291399,196.7704855,5.68355,4.64987,4.25214,5.50343,5.16088,6.06197
135.1301036,196.7704855,5.72737,4.71063,4.31232,5.55743,5.21748,6.11613
136.1310674,196.7704855,5.77781,4.78817,4.39119,5.63022,5.29651,6.19372
137.1320311,196.7704855,5.83212,4.87553,4.48099,5.71399,5.38866,6.28501
138.1329948,196.7704855,5.88643,4.96288,4.57079,5.79775,5.48081,6.37631
139.1339585,196.7704855,5.94074,5.05024,4.66059,5.88152,5.57296,6.4676
140.1349223,196.7704855,6.00652,5.18382,4.79193,5.99846,5.69424,6.58272
141.135886,196.7704855,6.0789,5.34399,4.94717,6.13448,5.83227,6.71155
142.1368497,196.7704855,6.15128,5.50416,5.10241,6.27049,5.9703,6.84038
143.1378135,196.7704855,6.22365,5.66433,5.25764,6.40651,6.10833,6.96921
144.1387772,196.7704855,6.2371,5.73449,5.33535,6.48421,6.20069,7.06542
145.1397409,196.7704855,6.21721,5.7537,5.36919,6.52892,6.26721,7.14317
146.1407047,196.7704855,6.19733,5.77292,5.40303,6.57363,6.33374,7.22092
147.1416684,196.7704855,6.17744,5.79214,5.43687,6.61834,6.40026,7.29868
148.1426321,196.7704855,6.18507,5.77594,5.44172,6.64295,6.45382,7.36983
149.1435959,196.7704855,6.20802,5.74002,5.43045,6.65637,6.50017,7.43732
150.1445596,196.7704855,6.23097,5.7041,5.41918,6.66979,6.54651,7.50481
151.1455233,196.7704855,6.25393,5.66818,5.4079,6.68321,6.59286,7.5723
152.146487,196.7704855,6.3829,5.80704,5.54158,6.79944,6.70956,7.6803
153.1474508,196.7704855,6.5699,6.04152,5.75456,6.97193,6.86475,7.81045
154.1484145,196.7704855,6.75689,6.276,5.96755,7.14442,7.01995,7.94061
155.1493782,196.7704855,6.94389,6.51049,6.18054,7.31691,7.17514,8.07076
156.150342,196.7704855,7.09747,6.66681,6.36292,7.50727,7.41126,8.32292
157.1513057,196.7704855,7.23308,6.78108,6.52883,7.70725,7.6909,8.64072
158.1522694,196.7704855,7.36868,6.89535,6.69474,7.90722,7.97054,8.95851
159.1532332,196.7704855,7.50429,7.00962,6.86066,8.1072,8.25018,9.27631
