X,Y,K,U,Th,TC
9150,8600,12.85199,-0.16059,4.6407,377.77042
9200,8600,7.51703,-0.50143,5.49262,353.93732
9250,8600,11.91207,0.68791,3.73543,395.49643
9300,8600,18.27094,3.48932,3.1981,455.94673
9350,8600,24.05825,5.83429,2.57103,494.58561
9400,8600,28.20559,6.73415,1.24629,495.022
9450,8600,25.3369,3.88512,2.35063,465.43486
9500,8600,18.39851,0.92102,1.4831,363.04225
9550,8600,10.31627,-1.89279,0.05763,246.46514
9600,8600,3.7713,-3.99393,-0.82458,153.04408
9650,8600,2.84178,-3.92068,-1.36134,106.66606
9700,8600,-0.86682,-2.87818,-0.94055,68.80937
9750,8600,-4.25018,-1.80117,-0.18354,38.32301
9800,8600,-5.7399,-1.03362,0.73482,15.64485
9850,8600,-4.82663,-1.0298,1.49809,-0.53177
9900,8600,-1.8961,-2.6384,1.95438,-13.83573
8150,8550,34.65122,22.25657,14.67269,681.11659
8200,8550,29.22582,20.24255,13.33321,587.0664
8250,8550,24.638,18.05548,11.91348,508.04355
8300,8550,20.61158,15.39628,10.24727,440.95143
8350,8550,16.38316,11.90968,8.11075,380.00068
8400,8550,12.02373,8.2585,5.79368,325.55834
8450,8550,8.2653,5.37778,3.82681,281.95604
8500,8550,5.78746,2.79361,2.07251,243.32056
8550,8550,3.90697,-0.08453,0.1159,208.83226
8600,8550,1.87754,-2.7461,-1.65957,181.94874
8650,8550,2.73501,-2.03394,-0.93328,193.51914
8700,8550,3.83702,-0.79131,0.42975,216.54645
8750,8550,5.04894,0.34449,1.8695,247.09578
8800,8550,5.63702,1.74301,2.69384,282.92546
8850,8550,6.3484,3.28152,1.31442,325.33627
8900,8550,12.583,3.09639,1.90898,381.78933
8950,8550,21.63459,2.67572,2.98401,449.68509
9000,8550,31.96162,2.49196,4.14705,525.97074
9050,8550,37.46021,-0.34396,7.84906,577.93906
9100,8550,33.61201,0.55576,8.52369,580.17162
