X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
200,5400,0.0248,0.0253,0.0295,0.0406,0.0499,0.0695,0.0871,0.0935,0.1191,0.0358,0.0107,0.2732,0.1858
250,5400,0.0267,0.0273,0.0324,0.0437,0.055,0.0797,0.0988,0.1046,0.132,0.0393,0.0108,0.2727,0.1828
300,5400,0.0281,0.0295,0.0378,0.0454,0.064,0.1156,0.1428,0.145,0.1774,0.0456,0.0108,0.2387,0.1505
350,5400,0.0272,0.0276,0.039,0.0388,0.0671,0.1623,0.2044,0.2025,0.2421,0.0528,0.0107,0.1844,0.0998
400,5400,0.0253,0.0257,0.0377,0.0341,0.0649,0.1775,0.2256,0.2214,0.2637,0.0563,0.0106,0.1601,0.081
450,5400,0.0261,0.0268,0.0377,0.0365,0.0638,0.1576,0.1988,0.1951,0.2339,0.0546,0.0105,0.1728,0.0943
500,5400,0.0274,0.0292,0.0398,0.0415,0.0669,0.1481,0.1841,0.1817,0.2189,0.0526,0.0106,0.1947,0.1128
550,5400,0.0286,0.0306,0.0419,0.0455,0.0713,0.1478,0.1846,0.1831,0.2222,0.052,0.0107,0.2164,0.1278
600,5400,0.0291,0.033,0.0446,0.0503,0.0756,0.1413,0.1743,0.1762,0.2133,0.0516,0.0107,0.2322,0.1389
650,5400,0.0289,0.0316,0.0424,0.0484,0.0723,0.1338,0.1654,0.168,0.2042,0.0505,0.0107,0.2311,0.1387
700,5400,0.0295,0.0322,0.0428,0.0495,0.0726,0.1276,0.1576,0.1607,0.1948,0.049,0.0107,0.2297,0.1405
750,5400,0.0303,0.0328,0.042,0.0502,0.07,0.1184,0.1456,0.149,0.1817,0.0473,0.0108,0.2538,0.1615
800,5400,0.0286,0.0303,0.0389,0.0458,0.0656,0.1188,0.1485,0.1519,0.1846,0.0469,0.0108,0.2577,0.1622
850,5400,0.0277,0.0301,0.0391,0.0453,0.0659,0.1235,0.1547,0.1595,0.1911,0.0466,0.0108,0.2545,0.1564
900,5400,0.0282,0.0312,0.0404,0.0485,0.0686,0.1198,0.1496,0.1554,0.1878,0.0465,0.0107,0.2685,0.1656
950,5400,0.0291,0.0324,0.0425,0.0507,0.0723,0.1234,0.1536,0.1608,0.1933,0.0466,0.0107,0.2737,0.1682
1000,5400,0.0293,0.0305,0.0383,0.0472,0.0647,0.1062,0.1323,0.1396,0.1712,0.0462,0.0108,0.2935,0.1815
1050,5400,0.0283,0.0302,0.0378,0.0474,0.0642,0.1051,0.1312,0.1391,0.1703,0.0451,0.0108,0.3044,0.1906
1100,5400,0.0281,0.0295,0.0356,0.0471,0.0614,0.0947,0.1189,0.1277,0.1582,0.0448,0.0108,0.3206,0.2058
1150,5400,0.0276,0.0285,0.0349,0.0454,0.0605,0.1001,0.1258,0.1331,0.1636,0.0449,0.0108,0.2921,0.1857
1200,5400,0.0267,0.027,0.0358,0.0382,0.0615,0.1398,0.1774,0.1813,0.2143,0.0476,0.0108,0.2129,0.1259
1250,5400,0.0263,0.0264,0.0372,0.0337,0.0627,0.1694,0.2167,0.2175,0.2528,0.0513,0.0107,0.1736,0.0947
1300,5400,0.0266,0.027,0.038,0.0343,0.0642,0.162,0.205,0.2034,0.2378,0.0518,0.0107,0.1578,0.0826
1350,5400,0.0275,0.0286,0.0396,0.0385,0.0683,0.155,0.1943,0.195,0.2288,0.0511,0.0107,0.1732,0.0913
1400,5400,0.0274,0.0286,0.0417,0.0374,0.0722,0.195,0.2516,0.2555,0.2933,0.0568,0.0107,0.1838,0.0949
1450,5400,0.027,0.0279,0.0426,0.0344,0.0737,0.2307,0.3048,0.3095,0.3524,0.0631,0.0107,0.1859,0.0934
1500,5400,0.0265,0.0281,0.0442,0.0336,0.0761,0.2545,0.3413,0.3461,0.3931,0.0687,0.0107,0.1847,0.0901
1550,5400,0.0263,0.0285,0.0459,0.0335,0.0795,0.2767,0.3759,0.3794,0.4318,0.075,0.0107,0.1811,0.0854
1600,5400,0.0265,0.0287,0.048,0.0327,0.0828,0.303,0.4105,0.4067,0.4678,0.0824,0.0106,0.1789,0.0813
1650,5400,0.0269,0.0296,0.0519,0.0335,0.0894,0.3316,0.4346,0.4243,0.4899,0.089,0.0105,0.1909,0.0855
1700,5400,0.0273,0.0303,0.0535,0.0346,0.0921,0.3399,0.4398,0.4282,0.4939,0.0933,0.0105,0.1968,0.0879
2200,5400,0.0315,0.0331,0.0572,0.0389,0.0959,0.3203,0.4324,0.4169,0.4896,0.0983,0.0106,0.2097,0.0967
2250,5400,0.0317,0.0332,0.0552,0.0385,0.0899,0.3119,0.4341,0.4172,0.4878,0.096,0.0105,0.1942,0.0915
2300,5400,0.0311,0.031,0.0522,0.0346,0.0854,0.3252,0.471,0.4537,0.5256,0.0966,0.0105,0.1885,0.0886
2350,5400,0.0304,0.0314,0.0525,0.0372,0.0887,0.3128,0.4459,0.4317,0.5025,0.0957,0.0106,0.1923,0.0913
